EVENT_ID;TICKET_ID;SECTOR_ID;SEAT_ID;sector_left;sector_righ;csop
85;1439982;311;133934;346;347;csop6
85;1444113;311;133935;346;347;csop6
85;1443163;311;133936;346;347;csop6
85;1444112;311;133937;346;347;csop6
85;1458894;311;133938;346;347;csop6
85;1480772;311;133939;346;347;csop6
85;1480771;311;133940;346;347;csop6
85;1468179;311;133941;346;347;csop6
85;1458893;311;133942;346;347;csop6
85;1447850;311;133943;346;347;csop6
85;1454091;311;133944;346;347;csop6
85;1469597;311;133945;346;347;csop6
85;1467726;311;133946;346;347;csop6
85;1473804;311;133947;346;347;csop6
85;1477653;311;133948;346;347;csop6
85;1435233;311;133949;346;347;csop6
85;1475731;311;133950;346;347;csop6
85;1450499;311;133951;346;347;csop6
85;1471741;311;133952;346;347;csop6
85;1470693;311;133953;346;347;csop6
85;1422867;311;133954;346;347;csop6
85;1458892;311;133955;346;347;csop6
85;1458247;311;133956;346;347;csop6
85;1462867;311;133957;346;347;csop6
85;1462866;311;133958;346;347;csop6
85;1471740;311;133959;346;347;csop6
85;1450498;311;133960;346;347;csop6
85;1422866;311;133961;346;347;csop6
85;1470692;311;133962;346;347;csop6
85;1475730;311;133963;346;347;csop6
85;1473803;311;133964;346;347;csop6
85;1475729;311;133965;346;347;csop6
85;1435232;311;133966;346;347;csop6
85;1477652;311;133967;346;347;csop6
85;1422865;311;133968;346;347;csop6
85;1467725;311;133969;346;347;csop6
85;1469596;311;133970;346;347;csop6
85;1454090;311;133971;346;347;csop6
85;1462865;311;133972;346;347;csop6
85;1458246;311;133973;346;347;csop6
85;1468178;311;133974;346;347;csop6
85;1480770;311;133975;346;347;csop6
85;1467724;311;133976;346;347;csop6
85;1471739;311;133977;346;347;csop6
85;1454089;311;133978;346;347;csop6
85;1447849;311;133979;346;347;csop6
85;1475728;311;133980;346;347;csop6
85;1473802;311;133981;346;347;csop6
85;1477651;311;133982;346;347;csop6
85;1435231;311;133983;346;347;csop6
85;1469595;311;133984;346;347;csop6
85;1450497;311;133985;346;347;csop6
85;1447848;311;133986;346;347;csop6
85;1470691;311;133987;346;347;csop6
85;1469594;311;133988;346;347;csop6
85;1480769;311;133989;346;347;csop6
85;1480768;311;133990;346;347;csop6
85;1468177;311;133991;346;347;csop6
85;1468176;311;133992;346;347;csop6
85;1447847;311;133993;346;347;csop6
85;1450496;311;133994;346;347;csop6
85;1469593;311;133995;346;347;csop6
85;1470690;311;133996;346;347;csop6
85;1473801;311;133998;346;347;csop6
85;1475083;311;133999;346;347;csop6
85;1435230;311;134000;346;347;csop6
85;1454088;311;134001;346;347;csop6
85;1471738;311;134002;346;347;csop6
85;1467217;311;134003;346;347;csop6
85;1422864;311;134004;346;347;csop6
85;1468175;311;134005;346;347;csop6
85;1458245;311;134006;346;347;csop6
85;1462864;311;134007;346;347;csop6
85;1462863;311;134008;346;347;csop6
85;1469592;311;134009;346;347;csop6
85;1467216;311;134010;346;347;csop6
85;1422863;311;134011;346;347;csop6
85;1467215;311;134012;346;347;csop6
85;1469591;311;134013;346;347;csop6
85;1475082;311;134014;346;347;csop6
85;1473800;311;134015;346;347;csop6
85;1475081;311;134016;346;347;csop6
85;1435229;311;134017;346;347;csop6
85;1422862;311;134018;346;347;csop6
85;1450495;311;134019;346;347;csop6
85;1471737;311;134020;346;347;csop6
85;1470689;311;134021;346;347;csop6
85;1462862;311;134022;346;347;csop6
85;1458244;311;134023;346;347;csop6
85;1458243;311;134024;346;347;csop6
85;1480767;311;134025;346;347;csop6
85;1470688;311;134026;346;347;csop6
85;1471736;311;134027;346;347;csop6
85;1450494;311;134028;346;347;csop6
85;1447846;311;134029;346;347;csop6
85;1435228;311;134030;346;347;csop6
