EVENT_ID;TICKET_ID;SECTOR_ID;SEAT_ID
80;1124017;331;143681
80;1153808;331;143682
80;1153807;331;143683
80;1124016;331;143684
80;1153806;331;143685
80;1153805;331;143686
80;1130845;331;143687
80;1153804;331;143688
80;1153803;331;143689
80;1130844;331;143690
80;1153802;331;143691
80;1153801;331;143692
80;1153800;331;143693
80;1153799;331;143694
80;1153798;331;143695
80;1153797;331;143696
80;1153796;331;143697
80;1124015;331;143698
80;1153795;331;143699
80;1153794;331;143700
80;1124014;331;143701
80;1153793;331;143702
80;1153792;331;143703
80;1124013;331;143704
80;1153791;331;143705
80;1153790;331;143706
80;1130843;331;143707
80;1153789;331;143708
80;1153788;331;143709
80;1130842;331;143710
80;1153787;331;143711
80;1153786;331;143712
80;1153785;331;143713
80;1153784;331;143714
80;1153783;331;143715
80;1153782;331;143716
80;1153781;331;143717
80;1153780;331;143718
80;1153779;331;143719
80;1153778;331;143720
80;1124012;331;143721
80;1153777;331;143722
80;1153776;331;143723
80;1124011;331;143724
80;1153775;331;143725
80;1153774;331;143726
80;1130841;331;143727
80;1130840;331;143730
80;1153773;331;143731
80;1153772;331;143732
80;1130839;331;143733
80;1153771;331;143734
80;1153770;331;143735
80;1153769;331;143736
80;1153768;331;143737
80;1153767;331;143738
80;1153766;331;143739
80;1153765;331;143740
80;1124010;331;143741
80;1153764;331;143742
80;1153763;331;143743
80;1124009;331;143744
80;1153762;331;143745
80;1153761;331;143746
80;1130838;331;143747
80;1153760;331;143748
80;1153759;331;143749
80;1130837;331;143750
80;1153758;331;143751
80;1153757;331;143752
80;1130836;331;143753
80;1153756;331;143754
80;1153755;331;143755
80;1130835;331;143770
80;1153754;331;143771
80;1153753;331;143772
80;1130834;331;143773
80;1153752;331;143774
80;1153751;332;143782
80;1153750;332;143783
80;1124008;332;143784
80;1130833;332;143790
80;1153749;332;143791
80;1153748;332;143792
80;1130832;332;143793
80;1153747;332;143799
80;1153746;332;143800
80;1153745;332;143801
80;1153744;332;143802
80;1153743;332;143803
80;1124007;332;143804
80;1153742;332;143805
80;1153741;332;143806
80;1153740;332;143809
80;1130831;332;143810
80;1153739;332;143811
80;1153738;332;143812
80;1130830;332;143813
80;1153737;332;143814
80;1153736;332;143815
80;1130829;332;143816
80;1153735;332;143817
80;1153734;332;143818
80;1153733;332;143819
80;1153732;332;143820
80;1153731;332;143821
80;1153730;332;143822
80;1153729;332;143823
80;1124006;332;143824
