EVENT_ID;TICKET_ID;SECTOR_ID;SEAT_ID
80;1171805;273;113934
80;1171804;273;113935
80;1171803;273;113936
80;1171802;273;113937
80;1171801;273;113938
80;1171800;273;113939
80;1122911;273;113940
80;1171799;273;113942
80;1122910;273;113943
80;1171798;273;113944
80;1171797;273;113945
80;1129740;273;113946
80;1171796;273;113947
80;1129739;273;113949
80;1171795;273;113950
80;1171794;273;113951
80;1129738;273;113952
80;1171793;273;113953
80;1171792;273;113954
80;1171791;273;113955
80;1171790;273;113956
80;1171789;273;113957
80;1171788;273;113958
80;1171787;273;113959
80;1122909;273;113960
80;1171786;273;113961
80;1171785;273;113962
80;1122908;273;113963
80;1171784;273;113964
80;1171783;273;113965
80;1122907;273;113966
80;1171782;273;113967
80;1171781;273;113968
80;1129737;273;113969
80;1171780;273;113970
80;1171779;273;113971
80;1129736;273;113972
80;1171778;273;113973
80;1171777;273;113974
80;1171776;273;113975
80;1171775;273;113976
80;1171774;273;113977
80;1171773;273;113978
80;1171772;273;113979
80;1122906;273;113980
80;1171771;273;113981
80;1171770;273;113982
80;1122905;273;113983
80;1171769;273;113984
80;1171768;273;113985
80;1122904;273;113986
80;1171767;273;113987
80;1171766;273;113988
80;1129735;273;113989
80;1171765;273;113990
80;1171764;273;113991
80;1129734;273;113992
80;1171763;273;113993
80;1171762;273;113994
80;1129733;273;113995
80;1171761;273;113996
80;1171760;273;113997
80;1171759;273;113998
80;1171758;273;113999
80;1171757;273;114000
80;1171756;273;114001
80;1171755;273;114002
80;1122903;273;114003
80;1171754;273;114004
80;1171753;273;114005
80;1122902;273;114006
80;1171752;273;114007
80;1171751;273;114008
80;1129732;273;114009
80;1171750;273;114010
80;1171749;273;114011
80;1129731;273;114012
80;1171748;273;114013
80;1171747;273;114014
80;1129730;273;114015
80;1171746;273;114016
80;1171745;273;114017
80;1171744;273;114018
80;1171743;273;114019
80;1171742;273;114020
80;1171741;273;114021
80;1171740;273;114022
80;1122901;273;114023
80;1171739;273;114024
